organization_key,location_status,country,eligible,location_reason,location_sources,location_checked_date,location_confidence
abs computer,Exclue — autre ville tunisienne,Tunisie,Non,"Le site officiel et la page LinkedIn indiquent que le siège et l'équipe de développement sont à Sfax. La mention « Route de Tunis » est le nom de la route, pas une implantation dans le gouvernorat de Tunis.",https://abscomputer.tn/ | https://www.linkedin.com/company/abscomputertn,2026-09-25,Élevée
accent,Exclue — autre ville tunisienne,Tunisie,Non,L'entreprise est située au Technopôle de Manouba.,https://www.dnb.com/business-directory/company-profiles.ste_accent_alpha_connect_computing_for_entreprise.7803498b33d3a576a62a556f46d01e3a.html,2026-09-25,Moyenne
advensia gmbh,Étranger,Allemagne,Oui,"Le site officiel indique Stuttgart, Allemagne.",https://advensia.de/career/working-at-advensia/,2026-09-25,Élevée
advyteam global services,Tunis,Tunisie,Oui,"L'adresse indique Les Berges du Lac, dans le gouvernorat de Tunis.",https://lake.jort.tn/annonces-legales/fr/2011/156.pdf,2026-09-25,Moyenne
agence via web,Exclue — autre ville tunisienne,Tunisie,Non,"L'adresse source indique Khézama, Sousse.","Adresse complète du CSV recoupée par recherche Google, sans page officielle publique",2026-09-25,Moyenne
agiir network,Étranger,France,Oui,"Le site officiel indique Riorges/Roanne, France.",https://agiir-network.com/contact/,2026-09-25,Élevée
ahwa solutions,Exclue — autre ville tunisienne,Tunisie,Non,Le profil public du fondateur situe l'activité à Sidi Bouzid.,https://tn.linkedin.com/in/hamed-bouallegui,2026-09-25,Moyenne
aidodev,Exclue — autre ville tunisienne,Tunisie,Non,"Le registre d'entreprise situe AIDODEV à Mhamdia/Fouchana, Ben Arous.",https://www.verif.com/en/company/AIDODEV-68d9e4571299230338fffd90/,2026-09-25,Moyenne
alola,Ariana,Tunisie,Oui,"L'adresse source Rue de l'UMA, La Soukra, situe l'organisme dans l'Ariana.","Adresse complète du CSV recoupée par recherche Google, sans page officielle publique",2026-09-25,Moyenne
amc ernest and young,Tunis,Tunisie,Oui,EY/AMC est implanté au Centre Urbain Nord à Tunis.,https://www.ey.com/content/dam/ey-unified-site/ey-com/en-uk/legal-and-privacy/documents/ey-member-firms-and-affiliates-as-on-15-april.pdf,2026-09-25,Élevée
anavid services tunisie,Exclue — autre ville tunisienne,Tunisie,Non,"Le site officiel situe l'entreprise à Sakiet Ezzit, Sfax.",https://www.anavid.tn/,2026-09-25,Élevée
azur systemes,Tunis,Tunisie,Oui,L'annuaire professionnel situe Azur Systèmes à Tunis.,https://www.goafricaonline.com/tn/832946-azur-systemes,2026-09-25,Élevée
caisse nationale d assurance maladie cnam bousalem,Exclue — autre ville tunisienne,Tunisie,Non,"L'agence CNAM est située à Bou Salem, Jendouba.",https://www.zest-tourism.com/fr/direction/administrations/cnam-agence-bousalem-jendouba/,2026-09-25,Moyenne
caveo automotive,Exclue — autre ville tunisienne,Tunisie,Non,"L'annuaire sectoriel situe CAVEO à Borj Cedria, Ben Arous.",https://taa.tn/fr/node/247,2026-09-25,Élevée
cgi studio,Exclue — autre ville tunisienne,Tunisie,Non,"Le profil public rattaché à CGI Studio indique Menzel Temime, Nabeul.",https://tn.linkedin.com/in/amenallah-ben-achour-348a91130,2026-09-25,Moyenne
coficab,Tunis,Tunisie,Oui,La page de contact officielle recense l'implantation tunisienne de COFICAB.,https://www.coficab.com/contact/,2026-09-25,Élevée
compagnie des phosphates de gafsa,Exclue — autre ville tunisienne,Tunisie,Non,L'annuaire gouvernemental situe la CPG à Gafsa.,https://fr.tunisie.gov.tn/annuaireAdministration/527/11-compagnie-des-phosphates-de-gafsa-cpg.htm,2026-09-25,Élevée
conception,Localisation non vérifiable,Non trouvé/non vérifiable,Non,Nom générique et adresse manifestement inexploitable; aucun organisme précis n'a pu être identifié.,Recherche Google par nom — aucun résultat fiable (25/09/2026),2026-09-25,Faible
conseil solution formation,Ariana,Tunisie,Oui,"La page LinkedIn de CSF indique Cité El Ghazala/Ennkhilet, Ariana.",https://www.linkedin.com/company/csf-conseil-solution-formation,2026-09-25,Élevée
contact center services,Ariana,Tunisie,Oui,"La page de l'entreprise situe 2CS au Pôle technologique El Ghazala, Ariana.",https://tn.linkedin.com/company/contact-center-services-2cs,2026-09-25,Élevée
cresus solutions,Exclue — autre ville tunisienne,Tunisie,Non,La page de contact officielle situe l'entreprise à Sfax.,https://cresus-solutions.com/contact/,2026-09-25,Élevée
ddddddd,Localisation non vérifiable,Non trouvé/non vérifiable,Non,Nom et adresse factices; aucune entité concordante n'a été trouvée.,Recherche Google par nom — aucun résultat fiable (25/09/2026),2026-09-25,Faible
