organization_key,sector,target_roles,match_score_10,match_reason,junior_status,junior_evidence,active_jobs,linkedin_contact_name,linkedin_contact_role,linkedin_profile,contact_verification,verified_email,email_status,application_channel,recommended_cv,language,potential_score_100,foreign_employee_status,foreign_employee_evidence,sources,checked_date,verification_status,notes,email_subject,email_body,linkedin_invitation,linkedin_followup
it network consulting,IA / Data / Logiciel,"AI Engineer, Data/ML Engineer, développeur logiciel, full-stack ou Business Analyst technique",8.5,"Forte correspondance avec Python, Java, C++, IA, RAG et développement full-stack",Non vérifiable,Aucune preuve publique suffisamment récente d’un recrutement junior n’a été identifiée dans les résultats consultés.,Aucune offre correspondant au profil n’a pu être confirmée active le 2026-09-25; utiliser la candidature spontanée et revérifier le canal officiel avant envoi.,Non trouvé/non vérifiable,Aucun recruteur ou responsable actuel suffisamment fiable identifié,Non trouvé/non vérifiable,Non trouvé/non vérifiable après recherche publique,Aucun email public vérifié,Les adresses du CSV n’ont pas été considérées comme vérifiées sans publication publique correspondante,Non trouvé/non vérifiable,CV_ATS.pdf,fr,42,Sans objet — Tunisie,Candidature locale à Tunis/Ariana.,Recherches web ciblées du 2026-09-25 — aucun résultat suffisamment pertinent conservé,2026-09-25,Recherche publique effectuée — candidature spontanée; canal/contact à confirmer avant envoi,Fiche de couverture conservatrice générée à partir des recherches publiques. Aucun email n’est supposé et aucune offre ancienne n’est déclarée active. Une fiche manuelle ultérieure remplace automatiquement celle-ci.,Candidature spontanée — Ingénieur informatique junior — Mohamed Oussema Bahloul,"Bonjour,

Récemment diplômé ingénieur en informatique de l’ENSI, avec une spécialisation en ingénierie financière, je souhaite proposer ma candidature spontanée à IT NETWORK CONSULTING pour une première opportunité correspondant à mon profil.

Mon PFE chez Linedata a porté sur la modernisation d’un produit financier à l’aide d’agents IA. Cette expérience m’a appris à comprendre un besoin métier, le traduire en workflows intelligents puis contribuer à son intégration dans un produit existant. Je maîtrise Python, Java, C++, le développement full-stack, les APIs, SQL et les bases de données, le machine learning, les LLM et les architectures RAG.

Je m’intéresse à IT NETWORK CONSULTING pour ses activités autour de le développement logiciel, la Data et l’intelligence artificielle appliquée. Je recherche un environnement où je pourrai apprendre rapidement, prendre progressivement des responsabilités et utiliser la technologie pour créer une valeur concrète.

N’ayant pas trouvé d’offre junior actuellement ouverte que je puisse confirmer, je vous contacte en toute transparence dans le cadre d’une candidature spontanée pour un besoin présent ou futur. Je joins mon CV et serais ravi d’échanger avec vous.

Bien cordialement,
Mohamed Oussema Bahloul","Bonjour, récemment diplômé ingénieur ENSI et spécialisé en ingénierie financière, j’ai réalisé chez Linedata un PFE sur des agents IA. Je m’intéresse aux futurs besoins junior en IA, Data ou logiciel chez IT NETWORK CONSULTING. Ravi de rejoindre votre réseau.","Bonjour, merci pour la connexion. Je m’intéresse aux opportunités junior en IA, Data et logiciel chez IT NETWORK CONSULTING. Je n’ai présenté aucune ancienne annonce comme active; ma candidature spontanée met en avant mon PFE Linedata, mon socle logiciel et ma capacité à relier technologie et valeur métier. Pourriez-vous m’orienter vers le bon interlocuteur ?"
o3 tools software,IA / Data / Logiciel,"AI Engineer, Data/ML Engineer, développeur logiciel, full-stack ou Business Analyst technique",8.5,"Forte correspondance avec Python, Java, C++, IA, RAG et développement full-stack",Non vérifiable,Aucune preuve publique suffisamment récente d’un recrutement junior n’a été identifiée dans les résultats consultés.,Aucune offre correspondant au profil n’a pu être confirmée active le 2026-09-25; utiliser la candidature spontanée et revérifier le canal officiel avant envoi.,Non trouvé/non vérifiable,Aucun recruteur ou responsable actuel suffisamment fiable identifié,Non trouvé/non vérifiable,Non trouvé/non vérifiable après recherche publique,Aucun email public vérifié,Les adresses du CSV n’ont pas été considérées comme vérifiées sans publication publique correspondante,Non trouvé/non vérifiable,CV_ATS.pdf,fr,42,Sans objet — Tunisie,Candidature locale à Tunis/Ariana.,Recherches web ciblées du 2026-09-25 — aucun résultat suffisamment pertinent conservé,2026-09-25,Recherche publique effectuée — candidature spontanée; canal/contact à confirmer avant envoi,Fiche de couverture conservatrice générée à partir des recherches publiques. Aucun email n’est supposé et aucune offre ancienne n’est déclarée active. Une fiche manuelle ultérieure remplace automatiquement celle-ci.,Candidature spontanée — Ingénieur informatique junior — Mohamed Oussema Bahloul,"Bonjour,

Récemment diplômé ingénieur en informatique de l’ENSI, avec une spécialisation en ingénierie financière, je souhaite proposer ma candidature spontanée à O3 Tools Software pour une première opportunité correspondant à mon profil.

Mon PFE chez Linedata a porté sur la modernisation d’un produit financier à l’aide d’agents IA. Cette expérience m’a appris à comprendre un besoin métier, le traduire en workflows intelligents puis contribuer à son intégration dans un produit existant. Je maîtrise Python, Java, C++, le développement full-stack, les APIs, SQL et les bases de données, le machine learning, les LLM et les architectures RAG.

Je m’intéresse à O3 Tools Software pour ses activités autour de le développement logiciel, la Data et l’intelligence artificielle appliquée. Je recherche un environnement où je pourrai apprendre rapidement, prendre progressivement des responsabilités et utiliser la technologie pour créer une valeur concrète.

N’ayant pas trouvé d’offre junior actuellement ouverte que je puisse confirmer, je vous contacte en toute transparence dans le cadre d’une candidature spontanée pour un besoin présent ou futur. Je joins mon CV et serais ravi d’échanger avec vous.

Bien cordialement,
Mohamed Oussema Bahloul","Bonjour, récemment diplômé ingénieur ENSI et spécialisé en ingénierie financière, j’ai réalisé chez Linedata un PFE sur des agents IA. Je m’intéresse aux futurs besoins junior en IA, Data ou logiciel chez O3 Tools Software. Ravi de rejoindre votre réseau.","Bonjour, merci pour la connexion. Je m’intéresse aux opportunités junior en IA, Data et logiciel chez O3 Tools Software. Je n’ai présenté aucune ancienne annonce comme active; ma candidature spontanée met en avant mon PFE Linedata, mon socle logiciel et ma capacité à relier technologie et valeur métier. Pourriez-vous m’orienter vers le bon interlocuteur ?"
pyxis it,IA / Data / Logiciel,"AI Engineer, Data/ML Engineer, développeur logiciel, full-stack ou Business Analyst technique",8.5,"Forte correspondance avec Python, Java, C++, IA, RAG et développement full-stack",Non vérifiable,Aucune preuve publique suffisamment récente d’un recrutement junior n’a été identifiée dans les résultats consultés.,Aucune offre correspondant au profil n’a pu être confirmée active le 2026-09-25; utiliser la candidature spontanée et revérifier le canal officiel avant envoi.,Non trouvé/non vérifiable,Aucun recruteur ou responsable actuel suffisamment fiable identifié,Non trouvé/non vérifiable,Non trouvé/non vérifiable après recherche publique,Aucun email public vérifié,Les adresses du CSV n’ont pas été considérées comme vérifiées sans publication publique correspondante,Non trouvé/non vérifiable,CV_ATS.pdf,fr,42,Sans objet — Tunisie,Candidature locale à Tunis/Ariana.,Recherches web ciblées du 2026-09-25 — aucun résultat suffisamment pertinent conservé,2026-09-25,Recherche publique effectuée — candidature spontanée; canal/contact à confirmer avant envoi,Fiche de couverture conservatrice générée à partir des recherches publiques. Aucun email n’est supposé et aucune offre ancienne n’est déclarée active. Une fiche manuelle ultérieure remplace automatiquement celle-ci.,Candidature spontanée — Ingénieur informatique junior — Mohamed Oussema Bahloul,"Bonjour,

Récemment diplômé ingénieur en informatique de l’ENSI, avec une spécialisation en ingénierie financière, je souhaite proposer ma candidature spontanée à pyxis it pour une première opportunité correspondant à mon profil.

Mon PFE chez Linedata a porté sur la modernisation d’un produit financier à l’aide d’agents IA. Cette expérience m’a appris à comprendre un besoin métier, le traduire en workflows intelligents puis contribuer à son intégration dans un produit existant. Je maîtrise Python, Java, C++, le développement full-stack, les APIs, SQL et les bases de données, le machine learning, les LLM et les architectures RAG.

Je m’intéresse à pyxis it pour ses activités autour de le développement logiciel, la Data et l’intelligence artificielle appliquée. Je recherche un environnement où je pourrai apprendre rapidement, prendre progressivement des responsabilités et utiliser la technologie pour créer une valeur concrète.

N’ayant pas trouvé d’offre junior actuellement ouverte que je puisse confirmer, je vous contacte en toute transparence dans le cadre d’une candidature spontanée pour un besoin présent ou futur. Je joins mon CV et serais ravi d’échanger avec vous.

Bien cordialement,
Mohamed Oussema Bahloul","Bonjour, récemment diplômé ingénieur ENSI et spécialisé en ingénierie financière, j’ai réalisé chez Linedata un PFE sur des agents IA. Je m’intéresse aux futurs besoins junior en IA, Data ou logiciel chez pyxis it. Ravi de rejoindre votre réseau.","Bonjour, merci pour la connexion. Je m’intéresse aux opportunités junior en IA, Data et logiciel chez pyxis it. Je n’ai présenté aucune ancienne annonce comme active; ma candidature spontanée met en avant mon PFE Linedata, mon socle logiciel et ma capacité à relier technologie et valeur métier. Pourriez-vous m’orienter vers le bon interlocuteur ?"
radix engineering and software,IA / Data / Logiciel,"AI Engineer, Data/ML Engineer, développeur logiciel, full-stack ou Business Analyst technique",8.5,"Forte correspondance avec Python, Java, C++, IA, RAG et développement full-stack",Non vérifiable,Aucune preuve publique suffisamment récente d’un recrutement junior n’a été identifiée dans les résultats consultés.,Aucune offre correspondant au profil n’a pu être confirmée active le 2026-09-25; utiliser la candidature spontanée et revérifier le canal officiel avant envoi.,Non trouvé/non vérifiable,Aucun recruteur ou responsable actuel suffisamment fiable identifié,Non trouvé/non vérifiable,Non trouvé/non vérifiable après recherche publique,Aucun email public vérifié,Les adresses du CSV n’ont pas été considérées comme vérifiées sans publication publique correspondante,Non trouvé/non vérifiable,CV_ATS.pdf,fr,42,Sans objet — Tunisie,Candidature locale à Tunis/Ariana.,Recherches web ciblées du 2026-09-25 — aucun résultat suffisamment pertinent conservé,2026-09-25,Recherche publique effectuée — candidature spontanée; canal/contact à confirmer avant envoi,Fiche de couverture conservatrice générée à partir des recherches publiques. Aucun email n’est supposé et aucune offre ancienne n’est déclarée active. Une fiche manuelle ultérieure remplace automatiquement celle-ci.,Candidature spontanée — Ingénieur informatique junior — Mohamed Oussema Bahloul,"Bonjour,

Récemment diplômé ingénieur en informatique de l’ENSI, avec une spécialisation en ingénierie financière, je souhaite proposer ma candidature spontanée à Radix Engineering and Software pour une première opportunité correspondant à mon profil.

Mon PFE chez Linedata a porté sur la modernisation d’un produit financier à l’aide d’agents IA. Cette expérience m’a appris à comprendre un besoin métier, le traduire en workflows intelligents puis contribuer à son intégration dans un produit existant. Je maîtrise Python, Java, C++, le développement full-stack, les APIs, SQL et les bases de données, le machine learning, les LLM et les architectures RAG.

Je m’intéresse à Radix Engineering and Software pour ses activités autour de le développement logiciel, la Data et l’intelligence artificielle appliquée. Je recherche un environnement où je pourrai apprendre rapidement, prendre progressivement des responsabilités et utiliser la technologie pour créer une valeur concrète.

N’ayant pas trouvé d’offre junior actuellement ouverte que je puisse confirmer, je vous contacte en toute transparence dans le cadre d’une candidature spontanée pour un besoin présent ou futur. Je joins mon CV et serais ravi d’échanger avec vous.

Bien cordialement,
Mohamed Oussema Bahloul","Bonjour, récemment diplômé ingénieur ENSI et spécialisé en ingénierie financière, j’ai réalisé chez Linedata un PFE sur des agents IA. Je m’intéresse aux futurs besoins junior en IA, Data ou logiciel chez Radix Engineering and Software. Ravi de rejoindre votre réseau.","Bonjour, merci pour la connexion. Je m’intéresse aux opportunités junior en IA, Data et logiciel chez Radix Engineering and Software. Je n’ai présenté aucune ancienne annonce comme active; ma candidature spontanée met en avant mon PFE Linedata, mon socle logiciel et ma capacité à relier technologie et valeur métier. Pourriez-vous m’orienter vers le bon interlocuteur ?"
rhis solutions,IA / Data / Logiciel,"AI Engineer, Data/ML Engineer, développeur logiciel, full-stack ou Business Analyst technique",8.5,"Forte correspondance avec Python, Java, C++, IA, RAG et développement full-stack",Non vérifiable,Aucune preuve publique suffisamment récente d’un recrutement junior n’a été identifiée dans les résultats consultés.,Aucune offre correspondant au profil n’a pu être confirmée active le 2026-09-25; utiliser la candidature spontanée et revérifier le canal officiel avant envoi.,Non trouvé/non vérifiable,Aucun recruteur ou responsable actuel suffisamment fiable identifié,Non trouvé/non vérifiable,Non trouvé/non vérifiable après recherche publique,Aucun email public vérifié,Les adresses du CSV n’ont pas été considérées comme vérifiées sans publication publique correspondante,Non trouvé/non vérifiable,CV_ATS.pdf,fr,42,Sans objet — Tunisie,Candidature locale à Tunis/Ariana.,Recherches web ciblées du 2026-09-25 — aucun résultat suffisamment pertinent conservé,2026-09-25,Recherche publique effectuée — candidature spontanée; canal/contact à confirmer avant envoi,Fiche de couverture conservatrice générée à partir des recherches publiques. Aucun email n’est supposé et aucune offre ancienne n’est déclarée active. Une fiche manuelle ultérieure remplace automatiquement celle-ci.,Candidature spontanée — Ingénieur informatique junior — Mohamed Oussema Bahloul,"Bonjour,

Récemment diplômé ingénieur en informatique de l’ENSI, avec une spécialisation en ingénierie financière, je souhaite proposer ma candidature spontanée à RHIS Software pour une première opportunité correspondant à mon profil.

Mon PFE chez Linedata a porté sur la modernisation d’un produit financier à l’aide d’agents IA. Cette expérience m’a appris à comprendre un besoin métier, le traduire en workflows intelligents puis contribuer à son intégration dans un produit existant. Je maîtrise Python, Java, C++, le développement full-stack, les APIs, SQL et les bases de données, le machine learning, les LLM et les architectures RAG.

Je m’intéresse à RHIS Software pour ses activités autour de le développement logiciel, la Data et l’intelligence artificielle appliquée. Je recherche un environnement où je pourrai apprendre rapidement, prendre progressivement des responsabilités et utiliser la technologie pour créer une valeur concrète.

N’ayant pas trouvé d’offre junior actuellement ouverte que je puisse confirmer, je vous contacte en toute transparence dans le cadre d’une candidature spontanée pour un besoin présent ou futur. Je joins mon CV et serais ravi d’échanger avec vous.

Bien cordialement,
Mohamed Oussema Bahloul","Bonjour, récemment diplômé ingénieur ENSI et spécialisé en ingénierie financière, j’ai réalisé chez Linedata un PFE sur des agents IA. Je m’intéresse aux futurs besoins junior en IA, Data ou logiciel chez RHIS Software. Ravi de rejoindre votre réseau.","Bonjour, merci pour la connexion. Je m’intéresse aux opportunités junior en IA, Data et logiciel chez RHIS Software. Je n’ai présenté aucune ancienne annonce comme active; ma candidature spontanée met en avant mon PFE Linedata, mon socle logiciel et ma capacité à relier technologie et valeur métier. Pourriez-vous m’orienter vers le bon interlocuteur ?"
shamash information technology,IA / Data / Logiciel,"AI Engineer, Data/ML Engineer, développeur logiciel, full-stack ou Business Analyst technique",8.5,"Forte correspondance avec Python, Java, C++, IA, RAG et développement full-stack",Non vérifiable,Aucune preuve publique suffisamment récente d’un recrutement junior n’a été identifiée dans les résultats consultés.,Aucune offre correspondant au profil n’a pu être confirmée active le 2026-09-25; utiliser la candidature spontanée et revérifier le canal officiel avant envoi.,Non trouvé/non vérifiable,Aucun recruteur ou responsable actuel suffisamment fiable identifié,Non trouvé/non vérifiable,Non trouvé/non vérifiable après recherche publique,Aucun email public vérifié,Les adresses du CSV n’ont pas été considérées comme vérifiées sans publication publique correspondante,Non trouvé/non vérifiable,CV_ATS.pdf,fr,42,Sans objet — Tunisie,Candidature locale à Tunis/Ariana.,Recherches web ciblées du 2026-09-25 — aucun résultat suffisamment pertinent conservé,2026-09-25,Recherche publique effectuée — candidature spontanée; canal/contact à confirmer avant envoi,Fiche de couverture conservatrice générée à partir des recherches publiques. Aucun email n’est supposé et aucune offre ancienne n’est déclarée active. Une fiche manuelle ultérieure remplace automatiquement celle-ci.,Candidature spontanée — Ingénieur informatique junior — Mohamed Oussema Bahloul,"Bonjour,

Récemment diplômé ingénieur en informatique de l’ENSI, avec une spécialisation en ingénierie financière, je souhaite proposer ma candidature spontanée à Shamash Information Technology pour une première opportunité correspondant à mon profil.

Mon PFE chez Linedata a porté sur la modernisation d’un produit financier à l’aide d’agents IA. Cette expérience m’a appris à comprendre un besoin métier, le traduire en workflows intelligents puis contribuer à son intégration dans un produit existant. Je maîtrise Python, Java, C++, le développement full-stack, les APIs, SQL et les bases de données, le machine learning, les LLM et les architectures RAG.

Je m’intéresse à Shamash Information Technology pour ses activités autour de le développement logiciel, la Data et l’intelligence artificielle appliquée. Je recherche un environnement où je pourrai apprendre rapidement, prendre progressivement des responsabilités et utiliser la technologie pour créer une valeur concrète.

N’ayant pas trouvé d’offre junior actuellement ouverte que je puisse confirmer, je vous contacte en toute transparence dans le cadre d’une candidature spontanée pour un besoin présent ou futur. Je joins mon CV et serais ravi d’échanger avec vous.

Bien cordialement,
Mohamed Oussema Bahloul","Bonjour, récemment diplômé ingénieur ENSI et spécialisé en ingénierie financière, j’ai réalisé chez Linedata un PFE sur des agents IA. Je m’intéresse aux futurs besoins junior en IA, Data ou logiciel chez Shamash Information Technology. Ravi de rejoindre votre réseau.","Bonjour, merci pour la connexion. Je m’intéresse aux opportunités junior en IA, Data et logiciel chez Shamash Information Technology. Je n’ai présenté aucune ancienne annonce comme active; ma candidature spontanée met en avant mon PFE Linedata, mon socle logiciel et ma capacité à relier technologie et valeur métier. Pourriez-vous m’orienter vers le bon interlocuteur ?"
smart it partner,IA / Data / Logiciel,"AI Engineer, Data/ML Engineer, développeur logiciel, full-stack ou Business Analyst technique",8.5,"Forte correspondance avec Python, Java, C++, IA, RAG et développement full-stack",Non vérifiable,Aucune preuve publique suffisamment récente d’un recrutement junior n’a été identifiée dans les résultats consultés.,Aucune offre correspondant au profil n’a pu être confirmée active le 2026-09-25; utiliser la candidature spontanée et revérifier le canal officiel avant envoi.,Non trouvé/non vérifiable,Aucun recruteur ou responsable actuel suffisamment fiable identifié,Non trouvé/non vérifiable,Non trouvé/non vérifiable après recherche publique,Aucun email public vérifié,Les adresses du CSV n’ont pas été considérées comme vérifiées sans publication publique correspondante,Non trouvé/non vérifiable,CV_ATS.pdf,fr,42,Sans objet — Tunisie,Candidature locale à Tunis/Ariana.,Recherches web ciblées du 2026-09-25 — aucun résultat suffisamment pertinent conservé,2026-09-25,Recherche publique effectuée — candidature spontanée; canal/contact à confirmer avant envoi,Fiche de couverture conservatrice générée à partir des recherches publiques. Aucun email n’est supposé et aucune offre ancienne n’est déclarée active. Une fiche manuelle ultérieure remplace automatiquement celle-ci.,Candidature spontanée — Ingénieur informatique junior — Mohamed Oussema Bahloul,"Bonjour,

Récemment diplômé ingénieur en informatique de l’ENSI, avec une spécialisation en ingénierie financière, je souhaite proposer ma candidature spontanée à Smart IT Partner pour une première opportunité correspondant à mon profil.

Mon PFE chez Linedata a porté sur la modernisation d’un produit financier à l’aide d’agents IA. Cette expérience m’a appris à comprendre un besoin métier, le traduire en workflows intelligents puis contribuer à son intégration dans un produit existant. Je maîtrise Python, Java, C++, le développement full-stack, les APIs, SQL et les bases de données, le machine learning, les LLM et les architectures RAG.

Je m’intéresse à Smart IT Partner pour ses activités autour de le développement logiciel, la Data et l’intelligence artificielle appliquée. Je recherche un environnement où je pourrai apprendre rapidement, prendre progressivement des responsabilités et utiliser la technologie pour créer une valeur concrète.

N’ayant pas trouvé d’offre junior actuellement ouverte que je puisse confirmer, je vous contacte en toute transparence dans le cadre d’une candidature spontanée pour un besoin présent ou futur. Je joins mon CV et serais ravi d’échanger avec vous.

Bien cordialement,
Mohamed Oussema Bahloul","Bonjour, récemment diplômé ingénieur ENSI et spécialisé en ingénierie financière, j’ai réalisé chez Linedata un PFE sur des agents IA. Je m’intéresse aux futurs besoins junior en IA, Data ou logiciel chez Smart IT Partner. Ravi de rejoindre votre réseau.","Bonjour, merci pour la connexion. Je m’intéresse aux opportunités junior en IA, Data et logiciel chez Smart IT Partner. Je n’ai présenté aucune ancienne annonce comme active; ma candidature spontanée met en avant mon PFE Linedata, mon socle logiciel et ma capacité à relier technologie et valeur métier. Pourriez-vous m’orienter vers le bon interlocuteur ?"
smart world it swit,IA / Data / Logiciel,"AI Engineer, Data/ML Engineer, développeur logiciel, full-stack ou Business Analyst technique",8.5,"Forte correspondance avec Python, Java, C++, IA, RAG et développement full-stack",Non vérifiable,Aucune preuve publique suffisamment récente d’un recrutement junior n’a été identifiée dans les résultats consultés.,Aucune offre correspondant au profil n’a pu être confirmée active le 2026-09-25; utiliser la candidature spontanée et revérifier le canal officiel avant envoi.,Non trouvé/non vérifiable,Aucun recruteur ou responsable actuel suffisamment fiable identifié,Non trouvé/non vérifiable,Non trouvé/non vérifiable après recherche publique,Aucun email public vérifié,Les adresses du CSV n’ont pas été considérées comme vérifiées sans publication publique correspondante,Non trouvé/non vérifiable,CV_ATS.pdf,fr,42,Sans objet — Tunisie,Candidature locale à Tunis/Ariana.,Recherches web ciblées du 2026-09-25 — aucun résultat suffisamment pertinent conservé,2026-09-25,Recherche publique effectuée — candidature spontanée; canal/contact à confirmer avant envoi,Fiche de couverture conservatrice générée à partir des recherches publiques. Aucun email n’est supposé et aucune offre ancienne n’est déclarée active. Une fiche manuelle ultérieure remplace automatiquement celle-ci.,Candidature spontanée — Ingénieur informatique junior — Mohamed Oussema Bahloul,"Bonjour,

Récemment diplômé ingénieur en informatique de l’ENSI, avec une spécialisation en ingénierie financière, je souhaite proposer ma candidature spontanée à Smart World IT SWIT pour une première opportunité correspondant à mon profil.

Mon PFE chez Linedata a porté sur la modernisation d’un produit financier à l’aide d’agents IA. Cette expérience m’a appris à comprendre un besoin métier, le traduire en workflows intelligents puis contribuer à son intégration dans un produit existant. Je maîtrise Python, Java, C++, le développement full-stack, les APIs, SQL et les bases de données, le machine learning, les LLM et les architectures RAG.

Je m’intéresse à Smart World IT SWIT pour ses activités autour de le développement logiciel, la Data et l’intelligence artificielle appliquée. Je recherche un environnement où je pourrai apprendre rapidement, prendre progressivement des responsabilités et utiliser la technologie pour créer une valeur concrète.

N’ayant pas trouvé d’offre junior actuellement ouverte que je puisse confirmer, je vous contacte en toute transparence dans le cadre d’une candidature spontanée pour un besoin présent ou futur. Je joins mon CV et serais ravi d’échanger avec vous.

Bien cordialement,
Mohamed Oussema Bahloul","Bonjour, récemment diplômé ingénieur ENSI et spécialisé en ingénierie financière, j’ai réalisé chez Linedata un PFE sur des agents IA. Je m’intéresse aux futurs besoins junior en IA, Data ou logiciel chez Smart World IT SWIT. Ravi de rejoindre votre réseau.","Bonjour, merci pour la connexion. Je m’intéresse aux opportunités junior en IA, Data et logiciel chez Smart World IT SWIT. Je n’ai présenté aucune ancienne annonce comme active; ma candidature spontanée met en avant mon PFE Linedata, mon socle logiciel et ma capacité à relier technologie et valeur métier. Pourriez-vous m’orienter vers le bon interlocuteur ?"
standard sharing software,IA / Data / Logiciel,"AI Engineer, Data/ML Engineer, développeur logiciel, full-stack ou Business Analyst technique",8.5,"Forte correspondance avec Python, Java, C++, IA, RAG et développement full-stack",Non vérifiable,Aucune preuve publique suffisamment récente d’un recrutement junior n’a été identifiée dans les résultats consultés.,Aucune offre correspondant au profil n’a pu être confirmée active le 2026-09-25; utiliser la candidature spontanée et revérifier le canal officiel avant envoi.,Non trouvé/non vérifiable,Aucun recruteur ou responsable actuel suffisamment fiable identifié,Non trouvé/non vérifiable,Non trouvé/non vérifiable après recherche publique,Aucun email public vérifié,Les adresses du CSV n’ont pas été considérées comme vérifiées sans publication publique correspondante,https://www.larousse.fr/dictionnaires/francais/standard/74453,CV_ATS.pdf,fr,42,Sans objet — Tunisie,Candidature locale à Tunis/Ariana.,https://www.larousse.fr/dictionnaires/francais/standard/74453 | https://www.derstandard.at/ | https://dictionnaire.lerobert.com/definition/standard | https://fr.wiktionary.org/wiki/standard,2026-09-25,Recherche publique effectuée — candidature spontanée; canal/contact à confirmer avant envoi,Fiche de couverture conservatrice générée à partir des recherches publiques. Aucun email n’est supposé et aucune offre ancienne n’est déclarée active. Une fiche manuelle ultérieure remplace automatiquement celle-ci.,Candidature spontanée — Ingénieur informatique junior — Mohamed Oussema Bahloul,"Bonjour,

Récemment diplômé ingénieur en informatique de l’ENSI, avec une spécialisation en ingénierie financière, je souhaite proposer ma candidature spontanée à Standard Sharing Software (3S) pour une première opportunité correspondant à mon profil.

Mon PFE chez Linedata a porté sur la modernisation d’un produit financier à l’aide d’agents IA. Cette expérience m’a appris à comprendre un besoin métier, le traduire en workflows intelligents puis contribuer à son intégration dans un produit existant. Je maîtrise Python, Java, C++, le développement full-stack, les APIs, SQL et les bases de données, le machine learning, les LLM et les architectures RAG.

Je m’intéresse à Standard Sharing Software (3S) pour ses activités autour de le développement logiciel, la Data et l’intelligence artificielle appliquée. Je recherche un environnement où je pourrai apprendre rapidement, prendre progressivement des responsabilités et utiliser la technologie pour créer une valeur concrète.

N’ayant pas trouvé d’offre junior actuellement ouverte que je puisse confirmer, je vous contacte en toute transparence dans le cadre d’une candidature spontanée pour un besoin présent ou futur. Je joins mon CV et serais ravi d’échanger avec vous.

Bien cordialement,
Mohamed Oussema Bahloul","Bonjour, récemment diplômé ingénieur ENSI et spécialisé en ingénierie financière, j’ai réalisé chez Linedata un PFE sur des agents IA. Je m’intéresse aux futurs besoins junior en IA, Data ou logiciel chez Standard Sharing Software (3S). Ravi de rejoindre votre réseau.","Bonjour, merci pour la connexion. Je m’intéresse aux opportunités junior en IA, Data et logiciel chez Standard Sharing Software (3S). Je n’ai présenté aucune ancienne annonce comme active; ma candidature spontanée met en avant mon PFE Linedata, mon socle logiciel et ma capacité à relier technologie et valeur métier. Pourriez-vous m’orienter vers le bon interlocuteur ?"
talys consulting,IA / Data / Logiciel,"AI Engineer, Data/ML Engineer, développeur logiciel, full-stack ou Business Analyst technique",8.5,"Forte correspondance avec Python, Java, C++, IA, RAG et développement full-stack",Non vérifiable,Aucune preuve publique suffisamment récente d’un recrutement junior n’a été identifiée dans les résultats consultés.,Aucune offre correspondant au profil n’a pu être confirmée active le 2026-09-25; utiliser la candidature spontanée et revérifier le canal officiel avant envoi.,Non trouvé/non vérifiable,Aucun recruteur ou responsable actuel suffisamment fiable identifié,Non trouvé/non vérifiable,Non trouvé/non vérifiable après recherche publique,Aucun email public vérifié,Les adresses du CSV n’ont pas été considérées comme vérifiées sans publication publique correspondante,https://tn.linkedin.com/company/talys,CV_ATS.pdf,fr,42,Sans objet — Tunisie,Candidature locale à Tunis/Ariana.,https://www.talys.digital/accueil | https://tn.linkedin.com/company/talys | https://altibbi.com/%D8%A7%D9%84%D8%A7%D8%AF%D9%88%D9%8A%D8%A9/%D8%AA%D8%A7%D9%84%D9%8A%D8%B3 | https://www.talys.digital/contact,2026-09-25,Recherche publique effectuée — candidature spontanée; canal/contact à confirmer avant envoi,Fiche de couverture conservatrice générée à partir des recherches publiques. Aucun email n’est supposé et aucune offre ancienne n’est déclarée active. Une fiche manuelle ultérieure remplace automatiquement celle-ci.,Candidature spontanée — Ingénieur informatique junior — Mohamed Oussema Bahloul,"Bonjour,

Récemment diplômé ingénieur en informatique de l’ENSI, avec une spécialisation en ingénierie financière, je souhaite proposer ma candidature spontanée à Talys Consulting pour une première opportunité correspondant à mon profil.

Mon PFE chez Linedata a porté sur la modernisation d’un produit financier à l’aide d’agents IA. Cette expérience m’a appris à comprendre un besoin métier, le traduire en workflows intelligents puis contribuer à son intégration dans un produit existant. Je maîtrise Python, Java, C++, le développement full-stack, les APIs, SQL et les bases de données, le machine learning, les LLM et les architectures RAG.

Je m’intéresse à Talys Consulting pour ses activités autour de le développement logiciel, la Data et l’intelligence artificielle appliquée. Je recherche un environnement où je pourrai apprendre rapidement, prendre progressivement des responsabilités et utiliser la technologie pour créer une valeur concrète.

N’ayant pas trouvé d’offre junior actuellement ouverte que je puisse confirmer, je vous contacte en toute transparence dans le cadre d’une candidature spontanée pour un besoin présent ou futur. Je joins mon CV et serais ravi d’échanger avec vous.

Bien cordialement,
Mohamed Oussema Bahloul","Bonjour, récemment diplômé ingénieur ENSI et spécialisé en ingénierie financière, j’ai réalisé chez Linedata un PFE sur des agents IA. Je m’intéresse aux futurs besoins junior en IA, Data ou logiciel chez Talys Consulting. Ravi de rejoindre votre réseau.","Bonjour, merci pour la connexion. Je m’intéresse aux opportunités junior en IA, Data et logiciel chez Talys Consulting. Je n’ai présenté aucune ancienne annonce comme active; ma candidature spontanée met en avant mon PFE Linedata, mon socle logiciel et ma capacité à relier technologie et valeur métier. Pourriez-vous m’orienter vers le bon interlocuteur ?"
